GLT;Obs2009;Obs2010;Obs2011;Obs2012;Obs2013;Obs2014;Obs2015;Obs2016;Obs2017;Obs2018;Obs2019;Obs2020;Obs2021;Obs2022
TM10;0;0;0;1;0;0;0;0;0;0;0;0;0;0
TM11;0;0;0;1;1;1;1;1;1;0;0;0;0;0
1333;0;0;0;0;1;2;1;1;0;0;0;0;0;0
1336;0;0;0;0;1;2;2;0;0;0;0;0;0;0
1357;0;0;0;0;1;1;1;1;0;0;0;0;0;0
AF17;0;0;0;0;1;1;1;1;1;1;1;1;0;0
AF18;0;0;0;0;1;1;1;1;0;0;0;0;0;0
AF19;0;0;0;0;1;1;3;1;0;0;0;0;0;0
AF20;0;0;0;0;1;1;1;1;0;0;0;0;0;0
AX26;0;0;0;0;1;0;0;0;0;0;0;0;0;0
FA8;0;0;0;0;1;1;1;1;3;1;1;1;1;1
MP80;0;0;0;0;1;1;1;1;1;1;1;1;1;1
MP84;0;0;0;0;1;1;1;1;1;1;1;1;1;1
MP85;0;0;0;0;1;1;1;1;1;1;1;1;1;1
MP91;0;0;0;0;1;1;1;1;0;0;0;0;0;0
MP92;0;0;0;0;1;1;1;1;0;0;0;0;0;0
TM12;0;0;0;0;1;1;1;1;1;1;1;1;1;1
TM13;0;0;0;0;1;1;1;1;1;0;0;0;0;0
TM14;0;0;0;0;1;1;1;1;1;0;0;0;0;0
TM15;0;0;0;0;1;1;1;1;1;0;0;0;0;0
1341;0;0;0;0;0;1;0;0;0;0;0;0;0;0
1342;0;0;0;0;0;1;0;0;0;0;0;0;0;0
1343;0;0;0;0;0;1;0;0;0;0;0;0;0;0
1345;0;0;0;0;0;1;2;1;0;0;0;0;0;0
1346;0;0;0;0;0;1;0;0;0;0;0;0;0;0
1347;0;0;0;0;0;1;0;0;0;0;0;0;0;0
1350;0;0;0;0;0;1;1;1;1;1;1;1;0;0
1351;0;0;0;0;0;1;0;0;0;0;0;0;0;0
1352;0;0;0;0;0;1;1;0;0;0;0;0;0;0
1360;0;0;0;0;0;1;1;1;1;0;0;0;0;0
1367;0;0;0;0;0;1;1;1;0;0;0;0;0;0
AF25;0;0;0;0;0;1;1;0;0;0;0;0;0;0
Angela;0;0;0;0;0;1;1;1;1;0;0;0;0;0
Cibele;0;0;0;0;0;1;1;1;0;0;0;0;0;0
Cris;0;0;0;0;0;1;1;1;0;0;0;0;0;0
FA10;0;0;0;0;0;1;1;1;1;1;1;1;1;1
FA11;0;0;0;0;0;1;1;1;0;0;0;0;0;0
FA12;0;0;0;0;0;1;1;1;2;1;1;0;0;0
FP1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
FP2;0;0;0;0;0;1;1;2;0;0;0;0;0;0
JP24;0;0;0;0;0;1;1;1;1;0;0;0;0;0
MP100;0;0;0;0;0;1;1;1;1;1;1;1;1;1
MP101;0;0;0;0;0;1;1;0;0;0;0;0;0;0
MP102;0;0;0;0;0;1;1;1;1;1;1;1;1;1
MP103;0;0;0;0;0;1;1;1;1;1;1;1;1;1
MP114;0;0;0;0;0;1;1;1;0;0;0;0;0;0
MP120;0;0;0;0;0;1;1;1;0;0;0;0;0;0
MP124;0;0;0;0;0;1;1;1;0;0;0;0;0;0
MP38;0;0;0;0;0;1;1;1;1;1;1;1;1;1
MP39;0;0;0;0;0;1;1;1;1;1;1;1;1;1
MP86;0;0;0;0;0;1;1;1;1;1;1;1;1;1
MP89;0;0;0;0;0;1;1;1;1;1;1;1;1;1
MP94;0;0;0;0;0;1;1;1;1;1;1;1;1;1
MP95;0;0;0;0;0;1;1;1;1;0;0;0;0;0
MP96;0;0;0;0;0;1;1;1;1;0;0;0;0;0
MP98;0;0;0;0;0;1;1;1;1;0;0;0;0;0
MP99;0;0;0;0;0;1;1;1;0;0;0;0;0;0
Nelson;0;0;0;0;0;1;1;1;1;0;0;0;0;0
Rodrigo;0;0;0;0;0;1;1;1;0;0;0;0;0;0
SI20;0;0;0;0;0;1;1;1;1;1;1;1;1;0
SP20;0;0;0;0;0;1;1;0;0;0;0;0;0;0
SP23;0;0;0;0;0;1;1;0;0;0;0;0;0;0
SP24;0;0;0;0;0;1;1;0;0;0;0;0;0;0
SP25;0;0;0;0;0;1;0;0;0;0;0;0;0;0
1353;0;0;0;0;0;0;1;0;0;0;0;0;0;0
1354;0;0;0;0;0;0;1;1;0;0;0;0;0;0
1355;0;0;0;0;0;0;1;1;1;0;0;0;0;0
1358;0;0;0;0;0;0;1;1;1;1;1;1;0;0
1359;0;0;0;0;0;0;1;1;1;1;1;1;0;0
1370;0;0;0;0;0;0;1;1;0;0;0;0;0;0
1371;0;0;0;0;0;0;1;1;0;0;0;0;0;0
EB1;0;0;0;0;0;0;1;1;1;1;0;0;0;0
EB2;0;0;0;0;0;0;1;1;1;1;0;0;0;0
EB3;0;0;0;0;0;0;1;1;1;1;0;0;0;0
EB4;0;0;0;0;0;0;1;1;1;1;0;0;0;0
FA15;0;0;0;0;0;0;1;1;3;0;0;0;3;1
FA16;0;0;0;0;0;0;1;1;3;3;1;0;0;0
FP3;0;0;0;0;0;0;1;0;0;0;0;0;0;0
FP4;0;0;0;0;0;0;1;2;0;0;0;0;0;0
MP110;0;0;0;0;0;0;1;1;1;1;1;1;1;1
MP111;0;0;0;0;0;0;1;1;1;1;1;1;1;1
MP112;0;0;0;0;0;0;1;1;1;1;0;0;0;0
MP113;0;0;0;0;0;0;1;1;1;1;0;0;0;0
MP115;0;0;0;0;0;0;1;1;0;0;0;0;0;0
MP118;0;0;0;0;0;0;1;1;1;1;1;1;1;1
MP119;0;0;0;0;0;0;1;1;1;1;1;1;1;1
MP127;0;0;0;0;0;0;1;1;1;1;1;1;1;1
MP128;0;0;0;0;0;0;1;1;1;1;1;1;1;1
MP129;0;0;0;0;0;0;1;1;1;1;1;1;1;1
MP131;0;0;0;0;0;0;1;1;1;1;0;0;0;0
MP132;0;0;0;0;0;0;1;1;1;1;0;0;0;0
SP26;0;0;0;0;0;0;1;0;0;0;0;0;0;0
TM16;0;0;0;0;0;0;1;1;1;0;0;0;0;0
TM17;0;0;0;0;0;0;1;1;1;0;0;0;0;0
TM18;0;0;0;0;0;0;1;1;1;0;0;0;0;0
TM20;0;0;0;0;0;0;1;1;1;2;1;0;0;0
1361;0;0;0;0;0;0;0;1;1;0;0;0;0;0
1363;0;0;0;0;0;0;0;1;0;0;0;0;0;0
1364;0;0;0;0;0;0;0;1;0;0;0;0;0;0
1365;0;0;0;0;0;0;0;1;0;0;0;0;0;0
1366;0;0;0;0;0;0;0;1;0;0;0;0;0;0
FA19;0;0;0;0;0;0;0;1;3;1;1;1;1;1
FA20;0;0;0;0;0;0;0;1;3;0;0;0;0;0
FP6;0;0;0;0;0;0;0;1;2;0;0;0;0;0
MP116;0;0;0;0;0;0;0;1;0;0;0;0;0;0
MP117;0;0;0;0;0;0;0;1;0;0;0;0;0;0
MP141;0;0;0;0;0;0;0;1;1;1;1;1;1;1
MP142;0;0;0;0;0;0;0;1;1;1;1;1;2;1
MP143;0;0;0;0;0;0;0;1;1;1;1;1;1;1
MP144;0;0;0;0;0;0;0;1;1;1;1;1;1;1
MP152;0;0;0;0;0;0;0;1;1;1;1;1;1;1
MP153;0;0;0;0;0;0;0;1;1;1;1;1;1;1
MP172;0;0;0;0;0;0;0;1;1;1;1;1;1;1
MP173;0;0;0;0;0;0;0;1;0;0;0;0;0;0
MP174;0;0;0;0;0;0;0;1;0;0;0;0;0;0
MP175;0;0;0;0;0;0;0;1;2;1;1;1;1;0
TM19;0;0;0;0;0;0;0;1;1;1;1;1;1;1
TM21;0;0;0;0;0;0;0;1;1;0;0;0;0;0
TM22;0;0;0;0;0;0;0;1;2;0;0;0;0;0
1372;0;0;0;0;0;0;0;0;1;0;0;0;0;0
1373;0;0;0;0;0;0;0;0;1;0;0;0;0;0
1389;0;0;0;0;0;0;0;0;1;1;1;0;0;0
FA21;0;0;0;0;0;0;0;0;1;3;1;1;1;1
FA22;0;0;0;0;0;0;0;0;1;3;1;0;3;1
FA25;0;0;0;0;0;0;0;0;1;3;1;0;0;0
FA26;0;0;0;0;0;0;0;0;1;3;1;1;1;1
FP7;0;0;0;0;0;0;0;0;1;1;2;0;0;0
MP154;0;0;0;0;0;0;0;0;1;1;1;1;1;1
MP155;0;0;0;0;0;0;0;0;1;1;1;1;1;1
MP156;0;0;0;0;0;0;0;0;1;1;1;1;1;1
MP176;0;0;0;0;0;0;0;0;1;0;0;0;0;0
MP177;0;0;0;0;0;0;0;0;1;1;1;1;1;0
MP183;0;0;0;0;0;0;0;0;1;1;1;1;1;1
MP192;0;0;0;0;0;0;0;0;1;0;2;1;1;2
MP193;0;0;0;0;0;0;0;0;1;1;2;0;0;0
MP194;0;0;0;0;0;0;0;0;1;1;1;1;1;0
MP195;0;0;0;0;0;0;0;0;1;1;2;1;1;1
MP196;0;0;0;0;0;0;0;0;1;1;1;0;0;0
SP31;0;0;0;0;0;0;0;0;1;0;0;0;0;0
SP32;0;0;0;0;0;0;0;0;1;0;0;0;0;0
FA27;0;0;0;0;0;0;0;0;0;1;2;0;0;0
FA28;0;0;0;0;0;0;0;0;0;1;3;1;1;1
FA30;0;0;0;0;0;0;0;0;0;1;0;0;0;0
FA31;0;0;0;0;0;0;0;0;0;1;1;1;1;0
MP178;0;0;0;0;0;0;0;0;0;1;0;0;0;0
MP179;0;0;0;0;0;0;0;0;0;1;0;0;0;0
MP184;0;0;0;0;0;0;0;0;0;1;1;1;1;1
MP185;0;0;0;0;0;0;0;0;0;1;0;0;0;0
MP186;0;0;0;0;0;0;0;0;0;1;1;1;1;1
MP187;0;0;0;0;0;0;0;0;0;1;1;1;1;1
MP190;0;0;0;0;0;0;0;0;0;1;1;1;1;0
MP191;0;0;0;0;0;0;0;0;0;1;1;1;1;0
MP210;0;0;0;0;0;0;0;0;0;1;1;1;1;1
MP211;0;0;0;0;0;0;0;0;0;1;1;1;1;1
MP213;0;0;0;0;0;0;0;0;0;1;1;1;1;1
1388;0;0;0;0;0;0;0;0;0;0;1;1;0;0
AX9;0;0;0;0;0;0;0;0;0;0;1;1;1;1
FA32;0;0;0;0;0;0;0;0;0;0;1;1;1;2
FA33;0;0;0;0;0;0;0;0;0;0;1;1;1;1
FA35;0;0;0;0;0;0;0;0;0;0;1;1;1;1
FP10;0;0;0;0;0;0;0;0;0;0;1;1;2;2
FP11;0;0;0;0;0;0;0;0;0;0;1;1;1;1
MP224;0;0;0;0;0;0;0;0;0;0;1;1;1;1
MP225;0;0;0;0;0;0;0;0;0;0;1;1;1;1
MP227;0;0;0;0;0;0;0;0;0;0;1;1;1;1
MP230;0;0;0;0;0;0;0;0;0;0;1;1;1;1
MP231;0;0;0;0;0;0;0;0;0;0;1;1;1;1
QL1;0;0;0;0;0;0;0;0;0;0;1;1;0;0
QL2;0;0;0;0;0;0;0;0;0;0;1;1;1;1
QL3;0;0;0;0;0;0;0;0;0;0;1;1;1;1
UR1;0;0;0;0;0;0;0;0;0;0;1;2;3;2
UR4;0;0;0;0;0;0;0;0;0;0;1;1;0;0
FA36;0;0;0;0;0;0;0;0;0;0;0;1;2;1
FA37;0;0;0;0;0;0;0;0;0;0;0;1;1;0
FA39;0;0;0;0;0;0;0;0;0;0;0;1;1;1
FP16;0;0;0;0;0;0;0;0;0;0;0;1;1;1
FP17;0;0;0;0;0;0;0;0;0;0;0;1;2;1
