GLT;Male;Female;O2009;O2010;O2011;O2012;O2013;O2014;O2015;O2016;O2017;O2018;O2019;O2020;O2021;O2022
1336;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0
1357;0;1;0;0;0;0;1;1;1;1;0;0;0;0;0;0
AF17;0;1;0;0;0;0;1;1;1;1;1;1;1;1;0;0
AF18;0;1;0;0;0;0;1;1;1;1;0;0;0;0;0;0
AF19;0;1;0;0;0;0;1;1;1;1;0;0;0;0;0;0
AF20;1;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0
FA8;0;1;0;0;0;0;1;1;1;1;1;1;1;1;1;1
MP80;1;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1
MP91;0;1;0;0;0;0;1;1;1;1;0;0;0;0;0;0
MP92;1;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0
TM12;0;1;0;0;0;0;1;1;1;1;1;1;1;1;1;1
TM13;1;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0
TM14;1;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0
TM15;1;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0
1341;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
1342;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
1343;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
1345;0;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0
1346;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
1347;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
1350;1;0;0;0;0;0;0;1;1;1;1;1;1;1;0;0
1351;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
1352;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0
1360;1;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0
1367;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0
AF25;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0
Angela;1;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0
Cibele;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0
Cris;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0
FA10;0;1;0;0;0;0;0;1;1;1;1;1;1;1;1;1
FA11;0;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0
FA12;1;0;0;0;0;0;0;1;1;1;1;1;1;0;0;0
FP1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
FP2;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0
MP100;0;1;0;0;0;0;0;1;1;1;1;1;1;1;1;1
MP102;1;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1
MP103;0;1;0;0;0;0;0;1;1;1;1;1;1;1;1;1
MP114;0;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0
MP120;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0
MP124;0;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0
MP86;0;1;0;0;0;0;0;1;1;1;1;1;1;1;1;1
MP89;0;1;0;0;0;0;0;1;1;1;1;1;1;1;1;1
MP94;1;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1
MP95;0;1;0;0;0;0;0;1;1;1;1;0;0;0;0;0
MP96;0;1;0;0;0;0;0;1;1;1;1;0;0;0;0;0
MP98;0;1;0;0;0;0;0;1;1;1;1;0;0;0;0;0
MP99;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0
Nelson;0;1;0;0;0;0;0;1;1;1;1;0;0;0;0;0
Rodrigo;0;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0
SI20;0;1;0;0;0;0;0;1;1;1;1;1;1;1;1;0
SP20;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0
SP23;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0
SP24;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0
SP25;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
1353;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
1354;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
1355;0;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0
1358;1;0;0;0;0;0;0;0;1;1;1;1;1;1;0;0
1359;0;1;0;0;0;0;0;0;1;1;1;1;1;1;0;0
1370;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0
1371;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0
EB1;0;1;0;0;0;0;0;0;1;1;1;1;0;0;0;0
EB2;1;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0
EB3;1;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0
EB4;0;1;0;0;0;0;0;0;1;1;1;1;0;0;0;0
FA15;1;0;0;0;0;0;0;0;1;1;1;0;0;0;1;1
FA16;1;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0
FP3;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
FP4;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0
MP112;0;1;0;0;0;0;0;0;1;1;1;1;0;0;0;0
MP113;0;1;0;0;0;0;0;0;1;1;1;1;0;0;0;0
MP115;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
MP118;0;1;0;0;0;0;0;0;1;1;1;1;1;1;1;1
MP119;0;1;0;0;0;0;0;0;1;1;1;1;1;1;1;1
MP127;0;1;0;0;0;0;0;0;1;1;1;1;1;1;1;1
MP128;0;1;0;0;0;0;0;0;1;1;1;1;1;1;1;1
MP129;0;1;0;0;0;0;0;0;1;1;1;1;1;1;1;1
MP131;1;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0
MP132;1;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0
SP26;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
TM16;1;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0
TM17;0;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0
TM18;1;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0
TM20;0;1;0;0;0;0;0;0;1;1;1;1;1;0;0;0
1361;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
1365;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
1366;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
FA19;0;1;0;0;0;0;0;0;0;1;1;1;1;1;1;1
FA20;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0
FP6;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0
MP141;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1
MP142;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1
MP152;0;1;0;0;0;0;0;0;0;1;1;1;1;1;1;1
MP153;0;1;0;0;0;0;0;0;0;1;1;1;1;1;1;1
MP172;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1
MP173;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
MP174;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
MP175;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0
TM19;0;1;0;0;0;0;0;0;0;1;1;1;1;1;1;1
TM21;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0
TM22;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0
1372;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
1373;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
1389;0;1;0;0;0;0;0;0;0;0;1;1;1;0;0;0
FA21;0;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1
FA22;1;0;0;0;0;0;0;0;0;0;1;1;1;0;1;1
FA25;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0
FA26;0;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1
FP7;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0
MP154;0;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1
MP155;0;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1
MP156;0;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1
MP176;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
MP177;0;1;0;0;0;0;0;0;0;0;1;1;1;1;1;0
MP183;1;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1
MP192;1;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1
MP193;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0
MP194;1;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0
MP195;0;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1
MP196;0;1;0;0;0;0;0;0;0;0;1;1;1;0;0;0
FA27;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0
FA28;0;1;0;0;0;0;0;0;0;0;0;1;1;1;1;1
FA30;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
FA31;0;1;0;0;0;0;0;0;0;0;0;1;1;1;1;0
MP178;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
MP179;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
MP184;0;1;0;0;0;0;0;0;0;0;0;1;1;1;1;1
MP210;0;1;0;0;0;0;0;0;0;0;0;1;1;1;1;1
MP211;0;1;0;0;0;0;0;0;0;0;0;1;1;1;1;1
MP213;0;1;0;0;0;0;0;0;0;0;0;1;1;1;1;1
AX9;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;1
FA32;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1
FA33;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;1
FA35;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;1
FP10;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;1
FP11;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;1
MP224;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1
