GLT;Obs1989;Obs1990;Obs1991;Obs1992;Obs1993;Obs1994;Obs1995;Obs1996;Obs1997;Obs1998;Obs1999;Obs2000;Obs2001;Obs2002;Obs2003;Obs2004;Obs2005;Obs2006;Obs2007
IP5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
JD2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
JD5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
JD9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
SFL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
SH10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
VC10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
VC17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
VC8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
VC9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
WS42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
