GLT;Male;Female;Obs2010;Obs2011;Obs2012;Obs2013;Obs2014;Obs2015;Obs2016;Obs2017;Obs2018;Obs2019;Obs2020;Obs2021;Obs2022
MP183;0;1;0;0;0;0;0;0;0;1;1;1;1;1;1
MP192;0;1;0;0;0;0;0;0;0;1;0;2;1;1;2
MP193;0;1;0;0;0;0;0;0;0;1;1;2;0;0;0
MP194;0;1;0;0;0;0;0;0;0;1;1;1;1;1;0
MP195;1;0;0;0;0;0;0;0;0;1;1;2;1;1;1
MP196;1;0;0;0;0;0;0;0;0;1;1;1;0;0;0
FA27;1;0;0;0;0;0;0;0;0;0;1;2;0;0;0
FA28;1;0;0;0;0;0;0;0;0;0;1;3;1;1;1
FA30;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
FA31;1;0;0;0;0;0;0;0;0;0;1;1;1;1;0
MP178;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0
MP179;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
MP184;1;0;0;0;0;0;0;0;0;0;1;1;1;1;1
MP210;1;0;0;0;0;0;0;0;0;0;1;1;1;1;1
MP211;1;0;0;0;0;0;0;0;0;0;1;1;1;1;1
MP213;1;0;0;0;0;0;0;0;0;0;1;1;1;1;1
AX9;1;0;0;0;0;0;0;0;0;0;0;1;1;1;1
FA32;0;1;0;0;0;0;0;0;0;0;0;1;1;1;2
FA33;1;0;0;0;0;0;0;0;0;0;0;1;1;1;1
FA35;1;0;0;0;0;0;0;0;0;0;0;1;1;1;1
FP10;1;0;0;0;0;0;0;0;0;0;0;1;1;2;2
FP11;1;0;0;0;0;0;0;0;0;0;0;1;1;1;1
MP224;0;1;0;0;0;0;0;0;0;0;0;1;1;1;1
MP225;0;1;0;0;0;0;0;0;0;0;0;1;1;1;1
MP227;0;1;0;0;0;0;0;0;0;0;0;1;1;1;1
MP230;0;1;0;0;0;0;0;0;0;0;0;1;1;1;1
QL1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0
QL2;0;1;0;0;0;0;0;0;0;0;0;1;1;1;1
QL3;1;0;0;0;0;0;0;0;0;0;0;1;1;1;1
UR1;0;1;0;0;0;0;0;0;0;0;0;1;2;2;2
UR4;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0
FA36;0;1;0;0;0;0;0;0;0;0;0;0;1;2;1
FA37;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0
FA39;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1
FP16;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1
FP17;0;1;0;0;0;0;0;0;0;0;0;0;1;2;1
KN1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1
KN2;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1
MP207;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1
MP208;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1
MP209;0;1;0;0;0;0;0;0;0;0;0;0;1;2;1
MP212;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1
MP214;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1
MP215;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1
MP226;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1
MP277;0;1;0;0;0;0;0;0;0;0;0;0;1;2;1
MP285;1;0;0;0;0;0;0;0;0;0;0;0;1;2;1
UR2;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0
FA40.1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1
FA41;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1
FA43;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1
FP14;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1
MP213.1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1
MP228;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1
MP229;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1
MP232;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1
MP233;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1
MP279;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1
MP298;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1
MP299;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1
MP318;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1
MP327;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1
MP328;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1
MP331;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1
MP332;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1
MP333;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1
MP354;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1
MP355;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1
MP356;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1
MP358;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1
MP362;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1
MP363;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1
MP364;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1
MP367;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1
MP368;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1
MP369;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1
MP370;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1
MP383;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1
MP384;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1
UR3;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1
UR7;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0
FA45;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
FP18;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
FP19;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
MP278;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
MP454;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
MP458;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
MP459;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
MP460;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
MP461;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
MP467;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
MP468;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
MP469;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
MP471;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
MP472;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
MP473;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
MP474;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
MP475;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
MP476;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
MP478;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
MP479;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
MP480;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
MP481;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
MP482;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
MP487;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
MP488;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
MP493;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
MP494;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
MP495;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
MP499;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
MP500;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
MP502;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
MP503;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
MP504;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
